"Production Company","Qualified CT Expenditures","Date Issued","Amount of Tax Credit Issued","Program Name","Statutory Reference","Municipality"
,,,,,,
"Orange Lion Productions, LLC","$175,772.00","2007-08-10T00:00:00.000","$52,732","Film and Digital Media Production Tax Credit","CGS 12-217jj","Fairfield"
"In Bloom, LLC","$11,679,687.00","2007-08-13T00:00:00.000","$3,503,906","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Reservation Road Productions","$10,983,022.00","2007-09-17T00:00:00.000","$3,294,906.6","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Visual Concepts Media, Inc.","$64,419.00","2007-09-17T00:00:00.000","$19,325.7","Film and Digital Media Production Tax Credit","CGS 12-217jj","Southington"
"Visual Concepts Media, Inc.","$74,508.00","2007-09-17T00:00:00.000","$22,352.4","Film and Digital Media Production Tax Credit","CGS 12-217jj","Southington"
"Boardroom, Inc.","$377,598.00","2007-10-18T00:00:00.000","$113,279.4","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Bronx Productions, Inc","$20,809,016.00","2007-11-01T00:00:00.000","$6,242,704.8","Film and Digital Media Production Tax Credit","CGS 12-217jj","Waterford"
"Marker Productions, LLC","$9,151,596.00","2007-11-19T00:00:00.000","$2,745,478.8","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Modern Home Movie LLC","$182,102.00","2007-11-19T00:00:00.000","$54,630.6","Film and Digital Media Production Tax Credit","CGS 12-217jj","Newtown"
"Docere Palace Studios LLC","$407,612.00","2007-12-03T00:00:00.000","$122,283.6","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Televersemedia LLC","$186,474.00","2007-12-03T00:00:00.000","$55,942.19","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Laws of Motion, LLC","$2,618,390.00","2007-12-19T00:00:00.000","$785,517.11","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Televersemedia LLC","$208,437.00","2007-12-19T00:00:00.000","$62,437.3","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Accidental Husband Intermediary Inc.","$1,524,932.00","2007-12-21T00:00:00.000","$457,479.6","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Forever in Blue, LLC","$16,950,270.00","2007-12-21T00:00:00.000","$5,085,216","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"WJH Productions, LLC","$11,923,406.00","2008-01-30T00:00:00.000","$3,577,021.8","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Ruminate Productions, LLC","$10,377,909.00","2008-03-03T00:00:00.000","$3,113,372.7","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Connecticut Film Center LLC","$1,683,073.00","2008-04-15T00:00:00.000","$504,921.9","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
